1005101,2309150	1.0,2
1013930,47411	1.0,2
1024794,66568	1.0,2
1027819,1843132	1.0,2
1027819,582662	1.0,2
1027819,587812	1.0,2
1056998,1109700	0.4999999999999999,3
1091137,2480084	0.8660254037844387,3
1091137,1945809	1.0,2
1091137,1794216	1.0,2
1109700,779760	0.4999999999999999,3
1116671,1174530	1.0,2
1116671,1331887	1.0,2
1116671,1794216	1.0,2
1116671,542786	1.0,2
1116671,66568	1.0,2
1116671,848443	1.0,2
1174530,2445646	0.7559289460184544,3
1174530,2445646	1.0,2
1174530,306466	1.0,2
1174530,542786	1.0,2
1174530,848443	1.0,2
1179646,1174530	1.0,2
1181550,303948	1.0,2
1220170,1843132	1.0,2
1220170,582662	1.0,2
1220170,587812	1.0,2
1242432,1744889	1.0,2
1242432,1990901	1.0,2
12451,2625420	1.0,2
1265763,1469816	1.0,2
1265763,202667	1.0,2
1265763,238740	1.0,2
1276913,1794216	0.4999999999999999,3
1276913,1567328	1.0,2
1276913,1945809	1.0,2
1276913,2445646	1.0,2
1296163,2007993	1.0,2
1296163,1744889	1.0,2
1319657,1977959	1.0,2
132390,1567328	1.0,2
132390,1778432	1.0,2
132390,1987434	1.0,2
132390,2196868	1.0,2
132390,2615678	1.0,2
1331154,306466	1.0,2
1331154,712664	1.0,2
1331887,1543292	1.0,2
1331887,2370740	1.0,2
1331887,247794	1.0,2
1331887,542786	1.0,2
1363315,1977959	1.0,2
1395430,243963	1.0,2
1401310,1990901	1.0,2
1402412,991725	1.0,2
1445871,2455524	0.1889822365046136,3
1445871,2455524	1.0,2
1445871,2590630	1.0,2
1445871,947134	1.0,2
1445871,1858921	1.0,2
1456155,785314	1.0,2
1468812,306466	1.0,2
1468812,132390	1.0,2
1468812,1331154	1.0,2
1468812,1778432	1.0,2
1468812,2196868	1.0,2
1468812,2615678	1.0,2
14690,1712923	1.0,2
1508073,2625420	1.0,2
1508073,844736	1.0,2
1519388,1794216	1.0,2
1519388,1907667	1.0,2
1519388,2480084	1.0,2
1567328,1174530	1.0,2
1567328,1488957	1.0,2
1601783,66568	1.0,2
1620761,1468812	1.0,2
1620761,1663216	1.0,2
1620761,2400678	1.0,2
1620761,41412	1.0,2
1620761,697038	1.0,2
1648646,14690	1.0,2
1648646,76196	1.0,2
1650301,47411	1.0,2
1663216,41412	1.0,2
1663216,1076258	1.0,2
1663216,1468812	1.0,2
1663216,2196868	1.0,2
1663216,2400678	1.0,2
1673185,1265763	1.0,2
1673185,202667	1.0,2
1685449,1755092	1.0,2
1685449,1907667	1.0,2
1685449,76196	1.0,2
1685449,838130	1.0,2
1734805,753886	1.0,2
1734805,2314362	1.0,2
1734805,2615678	1.0,2
1734805,30878	1.0,2
1734805,383894	1.0,2
1744889,785314	0.4999999999999999,3
1744889,1990901	1.0,2
1755092,1907667	1.0,2
1755092,838130	1.0,2
1778432,2196868	1.0,2
1778432,2615678	1.0,2
1794216,2480084	0.4999999999999999,3
1794216,1567328	1.0,2
1794216,1174530	1.0,2
1794216,1331887	1.0,2
1794216,1945809	1.0,2
1794216,848443	1.0,2
1821073,1508073	1.0,2
1821073,844736	1.0,2
183476,2542972	1.0,2
1843132,582662	1.0,2
1843132,587812	1.0,2
1858921,206809	1.0,2
1858921,2434480	1.0,2
1858921,2455524	1.0,2
1858921,416556	1.0,2
1907667,2480084	0.5000000000000001,3
1907667,1174530	0.8660254037844387,3
1907667,1174530	1.0,2
1907667,2480084	1.0,2
1919026,1265763	1.0,2
1919026,1673185	1.0,2
1919026,202667	1.0,2
1922825,672200	1.0,2
1945809,2480084	0.4999999999999999,3
1945809,1109700	1.0,2
1945809,1172232	1.0,2
1945809,1567328	1.0,2
1945809,2196868	1.0,2
1945809,2480084	1.0,2
1945809,779760	1.0,2
1951144,2043617	1.0,2
1951144,1343332	1.0,2
1966165,1794216	1.0,2
1966165,1331887	1.0,2
1969230,2625420	1.0,2
1987434,1663216	1.0,2
1990901,779760	1.0,2
1990901,1331887	1.0,2
1990901,2400678	1.0,2
1990901,2615678	1.0,2
2007993,1744889	1.0,2
2043617,1343332	1.0,2
2083367,1664010	0.9999999999999998,3
2083367,1664010	1.0,2
2179335,247794	1.0,2
2236005,132390	1.0,2
2236005,1567328	1.0,2
2241806,2480084	1.0,2
2241806,41412	1.0,2
2267507,67315	1.0,2
2289614,306466	1.0,2
2314362,30878	1.0,2
2314362,1395430	1.0,2
2314362,383894	1.0,2
235789,1664010	1.0,2
2360117,1907667	1.0,2
2400678,1227848	1.0,2
2400678,1468812	1.0,2
2400678,2615678	1.0,2
2400678,41412	1.0,2
2422606,1468812	0.4999999999999999,3
2422606,1116671	1.0,2
2422606,1468812	1.0,2
2434480,2455524	1.0,2
2434480,1005101	1.0,2
2434480,206809	1.0,2
2434480,2309150	1.0,2
2434480,2542972	1.0,2
2445646,2480084	1.0,2
2445646,1468812	1.0,2
