1734805,44,5
716091,44,3
1990901,44,4
1331154,44,3
1116671,44,3
2400678,44,3
998229,44,4
1693641,44,4
1331887,44,3
2615678,44,4
1463145,44,4
1744889,44,1
2314362,44,4
1644750,44,3
183907,44,3
305151,43,4
497196,43,3
2327803,43,1
2625420,43,2
1181550,43,5
1768010,43,2
1295097,43,1
525356,43,3
989989,43,5
1471876,43,2
214144,43,4
1603826,43,3
1996226,43,2
704642,43,2
1314869,43,4
140274,13,5
2171849,13,5
776067,13,4
1312746,13,3
2183726,13,3
1484808,13,5
567159,13,5
1079206,13,5
1848557,13,4
1168738,13,5
1835276,13,5
1195319,13,5
1801389,13,5
1316174,13,4
144543,13,4
1527030,47,3
1990901,47,4
2439005,47,4
1331887,47,3
1744889,47,4
304789,47,3
779760,47,4
1294425,47,1
2007993,47,4
1242432,47,5
1109700,47,4
1296163,47,3
716091,47,4
823613,47,4
1056998,47,4
2173336,30,5
2473170,30,5
900816,30,3
1990901,30,4
662337,30,4
1402412,30,4
1601783,30,3
2640108,30,3
306466,30,3
1142821,30,5
1024794,30,4
254711,30,1
1331154,30,4
1476213,30,3
2201376,30,2
2625420,20,2
1508073,20,3
1371016,20,3
1374336,20,4
1254903,20,3
1209119,20,3
2181840,20,4
2473764,20,4
1543531,20,4
1892937,20,5
774018,20,4
840901,20,1
1651723,20,3
77474,20,4
923342,20,4
1170033,22,1
2209675,22,2
326587,22,3
577553,22,2
2418634,22,4
754267,22,1
1206421,22,1
1737616,22,1
1507905,22,4
2068869,22,1
1769834,22,2
2554745,22,1
332045,22,2
1000965,22,2
138594,22,2
1296163,21,4
1075579,21,3
973356,21,3
2551641,21,4
1977959,21,4
1009741,21,4
793754,21,3
871687,21,4
2449072,21,4
1152116,21,4
1077945,21,4
786312,21,3
2363160,21,5
2071629,21,3
106104,21,4
554875,16,2
2480084,16,3
1794216,16,3
1276913,16,5
400164,16,4
2236005,16,4
1174530,16,3
1319997,16,3
1008399,16,2
530441,16,5
175214,16,3
761718,16,3
1179646,16,1
1091137,16,3
2431832,16,4
2059652,48,5
1567328,48,3
132390,48,3
613501,48,4
1116838,48,5
2445646,48,3
848760,48,3
2236005,48,3
1395430,48,2
2024848,48,5
1944014,48,3
1174530,48,3
991931,48,5
542786,48,3
2071871,48,4
1392773,28,4
1697479,28,4
1990901,28,5
2626356,28,5
1402412,28,2
765331,28,3
1987434,28,4
452013,28,3
1661657,28,4
2193455,28,4
1468812,28,4
132390,28,4
41412,28,4
2037339,28,3
1778432,28,4
699878,10,2
2625420,10,2
1874659,10,5
2541025,10,3
1478381,10,3
2606540,10,4
308618,10,4
741740,10,4
2213289,10,3
1380479,10,5
174683,10,5
1716229,10,3
1332388,10,3
57515,10,3
616350,10,4
243437,15,5
862622,15,4
1513144,15,2
698624,15,3
1787269,15,5
1048253,15,3
1471457,15,3
2230092,15,2
1315056,15,4
107840,15,3
1624280,15,5
1765845,15,4
1673185,15,3
986633,15,5
672012,15,4
41412,50,3
247794,50,3
2039337,50,2
2625420,50,2
1303498,50,3
2642212,50,5
1650301,50,1
2589362,50,2
1919026,50,2
370531,50,4
1224299,50,3
903779,50,3
1673185,50,2
2602249,50,3
290215,50,3
903692,36,3
1483986,36,5
1992227,36,1
1614320,36,2
2479359,36,3
388669,36,2
989704,36,1
1616285,36,4
2609870,36,1
47226,36,3
1811019,36,3
1555902,36,2
2535052,36,3
657006,36,3
1947963,36,3
1468812,45,3
1744889,45,1
1174530,45,3
542786,45,2
1782796,45,3
1294425,45,4
932081,45,3
1765193,45,3
780936,45,5
550836,45,4
1267643,45,2
2240318,45,3
63170,45,3
2370740,45,4
1005101,45,3
712664,26,3
2336678,26,3
2422606,26,3
1241149,26,3
672200,26,2
2360117,26,3
263315,26,2
1922825,26,1
2163521,26,3
2455124,26,2
261048,26,2
308495,26,4
1356914,26,3
2122996,26,4
608309,26,2
2187374,17,4
2503129,17,5
263315,17,3
728311,17,5
838369,17,4
2261008,17,3
1922825,17,5
608309,17,3
1691737,17,4
2336678,17,2
679929,17,2
1068777,17,3
1772361,17,3
1646939,17,3
673076,17,5
1329182,41,2
62996,41,1
1181550,41,2
1496546,41,1
525356,41,2
1045221,41,1
544147,41,5
2573207,41,1
1001129,41,2
2168244,41,1
235789,41,2
1813076,41,2
294330,41,2
1314869,41,3
521985,41,2
1076258,14,3
1663216,14,2
549526,14,3
1850680,14,1
15294,14,5
2270546,14,4
300074,14,1
303948,14,3
1061692,14,4
1782553,14,3
1585893,14,4
1189269,14,5
317370,14,3
970976,14,3
1140547,14,4
862759,11,5
1166950,11,2
669077,11,3
970936,11,3
2162641,11,4
303948,11,3
1181550,11,3
1683079,11,2
1082752,11,3
2256054,11,3
174683,11,3
2105661,11,2
827322,11,2
370346,11,1
1572201,11,2
41412,37,3
1033971,37,5
724592,37,5
126998,37,3
2625420,37,2
353906,37,3
640322,37,5
1208081,37,5
818736,37,3
12451,37,4
1328354,37,1
47411,37,5
978567,37,5
1013930,37,4
499718,37,3
1712147,29,4
14690,29,4
2415594,29,5
603277,29,3
1065039,29,3
2343417,29,4
779432,29,4
1650301,29,2
1712923,29,4
771321,29,4
896407,29,4
419746,29,5
1620735,29,3
1127488,29,5
1265877,29,3
829326,25,5
2433426,25,5
395100,25,4
160977,25,4
1089917,25,5
1126767,25,4
699878,25,5
568620,25,4
754781,25,4
2209931,25,5
